0X02FF00 0X58
0X02FF01 0X32
0X02FF02 0X31
0X02FF03 0X44
0X02FF04 0X5F
0X02FF05 0XD1
0X02FF06 0X0F
0X02FF07 0XFB
0X02FF08 0X24
0X02FF09 0XD9
0X02FF0A 0X0B
0X02FF0B 0X8C
0X02FF0C 0X34
0X02FF0D 0XB5
0X02FF0E 0XBF
0X02FF0F 0X59
0X02FF10 0XBC
0X02FF11 0X93
0X02FF12 0X39
0X02FF13 0X99
0X02FF14 0X70
0X02FF15 0XBA
0X02FF16 0X98
0X02FF17 0XF8
0X02FF18 0XE2
0X02FF19 0XBD
0X02FF1A 0XF9
0X02FF1B 0XDB
0X02FF1C 0X3C
0X02FF1D 0X26
0X02FF1E 0X4A
0X02FF1F 0X14
0X02FF20 0X7F
0X02FF21 0X18
0X02FF22 0X32
0X02FF23 0X21
0X02FF24 0X48
0X02FF25 0XF2
0X02FF26 0XF6
0X02FF27 0XBC
0X02FF28 0X1B
0X02FF29 0X0B
0X02FF2A 0X4D
0X02FF2B 0X2C
0X02FF2C 0XFE
0X02FF2D 0XD2
0X02FF2E 0XCA
0X02FF2F 0XB0
0X02FF30 0X93
0X02FF31 0XCB
0X02FF32 0X33
0X02FF33 0XC4
0X02FF34 0X04
0X02FF35 0X0F
0X02FF36 0X16
0X02FF37 0X1A
0X02FF38 0XE0
0X02FF39 0XB5
0X02FF3A 0XA3
0X02FF3B 0X0E
0X02FF3C 0X15
0X02FF3D 0XFA
0X02FF3E 0XDB
0X02FF3F 0X8E
0X02FF40 0X3A
0X02FF41 0X60
0X02FF42 0X43
0X02FF43 0XEA
0X02FF44 0XB0
0X02FF45 0XC8
0X02FF46 0X51
0X02FF47 0XFD
0X02FF48 0X3A
0X02FF49 0X6F
0X02FF4A 0XC6
0X02FF4B 0X4C
0X02FF4C 0XD2
0X02FF4D 0X6A
0X02FF4E 0X63
0X02FF4F 0X8C
0X02FF50 0X30
0X02FF51 0X0A
0X02FF52 0X04
0X02FF53 0X1B
0X02FF54 0XCC
0X02FF55 0X5E
0X02FF56 0X2D
0X02FF57 0X03
0X02FF58 0X0B
0X02FF59 0X63
0X02FF5A 0XCA
0X02FF5B 0XA7
0X02FF5C 0XD5
0X02FF5D 0X86
0X02FF5E 0XB6
0X02FF5F 0XD0
0X02FF60 0XA6
0X02FF61 0X41
0X02FF62 0X57
0X02FF63 0XA9
0X02FF64 0X3E
0X02FF65 0X53
0X02FF66 0XA5
0X02FF67 0X78
0X02FF68 0XB2
0X02FF69 0X75
0X02FF6A 0X04
0X02FF6B 0X20
0X02FF6C 0X4E
0X02FF6D 0X1C
0X02FF6E 0X7A
0X02FF6F 0X30
0X02FF70 0XE2
0X02FF71 0X71
0X02FF72 0XE9
0X02FF73 0X6D
0X02FF74 0XF7
0X02FF75 0X10
0X02FF76 0X85
0X02FF77 0X81
0X02FF78 0XBC
0X02FF79 0XDC
0X02FF7A 0XD6
0X02FF7B 0XC8
0X02FF7C 0X1A
0X02FF7D 0XF2
0X02FF7E 0X24
0X02FF7F 0XEA
0X02FF80 0X4C
0X02FF81 0XF8
0X02FF82 0X19
0X02FF83 0XF4
0X02FF84 0X26
0X02FF85 0XCE
0X02FF86 0X12
0X02FF87 0X4F
0X02FF88 0X09
0X02FF89 0X95
0X02FF8A 0XC4
0X02FF8B 0X8B
0X02FF8C 0X04
0X02FF8D 0XBD
0X02FF8E 0X97
0X02FF8F 0X04
0X02FF90 0XA8
0X02FF91 0X04
0X02FF92 0XD0
0X02FF93 0X8D
0X02FF94 0X7B
0X02FF95 0X69
0X02FF96 0XF7
0X02FF97 0X24
