0X06FF00 0XFD
0X06FF01 0X87
0X06FF02 0XA6
0X06FF03 0XC4
0X06FF04 0X53
0X06FF05 0X7B
0X06FF06 0X3C
0X06FF07 0X20
0X06FF08 0X00
0X06FF09 0XB9
0X06FF0A 0X18
0X06FF0B 0XD8
0X06FF0C 0X0F
0X06FF0D 0XCD
0X06FF0E 0XA9
0X06FF0F 0XC2
0X06FF10 0X91
0X06FF11 0X0D
0X06FF12 0X24
0X06FF13 0X53
0X06FF14 0XDE
0X06FF15 0X84
0X06FF16 0XCF
0X06FF17 0X2F
0X06FF18 0X2A
0X06FF19 0XE2
0X06FF1A 0X9E
0X06FF1B 0X80
0X06FF1C 0X67
0X06FF1D 0X75
0X06FF1E 0X81
0X06FF1F 0X7A
0X06FF20 0X4E
0X06FF21 0X14
0X06FF22 0X8A
0X06FF23 0X00
0X06FF24 0XF1
0X06FF25 0XED
0X06FF26 0X87
0X06FF27 0XAC
0X06FF28 0X4F
0X06FF29 0X65
0X06FF2A 0X05
0X06FF2B 0XCE
0X06FF2C 0X20
0X06FF2D 0X7B
0X06FF2E 0X30
0X06FF2F 0X31
0X06FF30 0XB8
0X06FF31 0X8A
0X06FF32 0X00
0X06FF33 0X96
0X06FF34 0X79
0X06FF35 0X48
0X06FF36 0X38
0X06FF37 0X40
0X06FF38 0X34
0X06FF39 0XC4
0X06FF3A 0X00
0X06FF3B 0X11
0X06FF3C 0XF1
0X06FF3D 0X27
0X06FF3E 0XA0
0X06FF3F 0XC4
0X06FF40 0X69
0X06FF41 0XEC
0X06FF42 0X4E
0X06FF43 0X71
0X06FF44 0XF3
0X06FF45 0X1E
0X06FF46 0XF0
0X06FF47 0X42
0X06FF48 0X00
0X06FF49 0X65
0X06FF4A 0X00
0X06FF4B 0X00
0X06FF4C 0X00
0X06FF4D 0X90
0X06FF4E 0X69
0X06FF4F 0X8C
0X06FF50 0XB6
0X06FF51 0X3D
0X06FF52 0X23
0X06FF53 0X77
0X06FF54 0X00
0X06FF55 0XE1
