0X08FF00 0X8C
0X08FF01 0X0E
0X08FF02 0X0E
0X08FF03 0X6F
0X08FF04 0XEF
0X08FF05 0X82
0X08FF06 0X92
0X08FF07 0XA1
0X08FF08 0X0B
0X08FF09 0XA2
0X08FF0A 0X4E
0X08FF0B 0X9B
0X08FF0C 0X74
0X08FF0D 0XBB
0X08FF0E 0X4B
0X08FF0F 0X4B
0X08FF10 0X38
0X08FF11 0X1E
0X08FF12 0X78
0X08FF13 0X4E
0X08FF14 0XE8
0X08FF15 0XBF
0X08FF16 0X63
0X08FF17 0X59
0X08FF18 0X7F
0X08FF19 0X6B
0X08FF1A 0X91
0X08FF1B 0XA4
0X08FF1C 0XF1
0X08FF1D 0X0C
0X08FF1E 0X64
0X08FF1F 0XE5
0X08FF20 0X94
0X08FF21 0XE5
0X08FF22 0X20
0X08FF23 0X7F
0X08FF24 0X50
0X08FF25 0X82
0X08FF26 0XE4
0X08FF27 0X54
0X08FF28 0XFC
0X08FF29 0X10
0X08FF2A 0XC9
0X08FF2B 0XC1
0X08FF2C 0XFE
0X08FF2D 0X8B
0X08FF2E 0X6C
0X08FF2F 0XA5
0X08FF30 0X63
0X08FF31 0X58
0X08FF32 0X4B
0X08FF33 0X38
0X08FF34 0XAB
0X08FF35 0X46
0X08FF36 0XBF
0X08FF37 0XFE
0X08FF38 0X5B
0X08FF39 0X3D
0X08FF3A 0X10
0X08FF3B 0XCF
0X08FF3C 0XED
0X08FF3D 0XD4
0X08FF3E 0X79
0X08FF3F 0X23
0X08FF40 0X19
0X08FF41 0X82
0X08FF42 0X72
0X08FF43 0X28
0X08FF44 0X15
0X08FF45 0X50
0X08FF46 0XD4
0X08FF47 0X61
0X08FF48 0X5E
0X08FF49 0XC0
0X08FF4A 0X44
0X08FF4B 0X73
0X08FF4C 0X08
0X08FF4D 0X14
0X08FF4E 0X2A
0X08FF4F 0X4E
0X08FF50 0X47
0X08FF51 0XAF
0X08FF52 0XA4
0X08FF53 0X12
0X08FF54 0X83
0X08FF55 0X0E
0X08FF56 0X1D
0X08FF57 0X29
0X08FF58 0XA6
0X08FF59 0X4C
0X08FF5A 0X1A
0X08FF5B 0XBD
0X08FF5C 0X33
0X08FF5D 0X06
0X08FF5E 0X68
0X08FF5F 0X3C
0X08FF60 0X54
0X08FF61 0X0E
0X08FF62 0X21
0X08FF63 0X14
0X08FF64 0X0C
0X08FF65 0X2C
0X08FF66 0XBA
0X08FF67 0X0E
0X08FF68 0XD1
0X08FF69 0XDC
0X08FF6A 0XF9
0X08FF6B 0XD5
0X08FF6C 0X4F
0X08FF6D 0X5F
0X08FF6E 0X30
0X08FF6F 0X62
0X08FF70 0X4F
0X08FF71 0X87
0X08FF72 0X30
0X08FF73 0X98
0X08FF74 0X55
0X08FF75 0X40
0X08FF76 0X79
0X08FF77 0X5A
0X08FF78 0X75
0X08FF79 0X38
0X08FF7A 0X1C
0X08FF7B 0X4F
0X08FF7C 0X62
0X08FF7D 0X49
0X08FF7E 0X0E
0X08FF7F 0X7F
0X08FF80 0X35
0X08FF81 0X14
0X08FF82 0XC1
0X08FF83 0XF7
0X08FF84 0XED
0X08FF85 0X65
0X08FF86 0X73
0X08FF87 0X55
0X08FF88 0X78
0X08FF89 0XD3
0X08FF8A 0XED
0X08FF8B 0X55
0X08FF8C 0X0E
0X08FF8D 0X11
0X08FF8E 0X4A
0X08FF8F 0X36
0X08FF90 0X70
0X08FF91 0X96
0X08FF92 0XD7
0X08FF93 0X0E
0X08FF94 0X0E
0X08FF95 0X85
0X08FF96 0XF9
0X08FF97 0XFB
0X08FF98 0X4B
0X08FF99 0X0E
0X08FF9A 0XBF
0X08FF9B 0XF8
0X08FF9C 0XC4
